,mean,2.5%,97.5%
beta_img[1],0.1904728330693067,0.0030809764419518536,0.3775866157505141
beta_img[2],-0.7797708613672468,-1.1272264994659316,-0.4356209694171473
beta_img[3],-0.37179331339677185,-0.6905839039240304,-0.055121343489183815
beta_img[4],-0.1585490178506688,-0.32054536649013354,0.008910246339812232
beta_img[5],0.05872902299245386,-0.10215015566411607,0.21699877252999636
gamma[1],0.2231073938948005,0.054245986155554475,0.3891029744244434
gamma[2],0.41449110013757917,0.2419606903304303,0.5892875690716209
gamma[3],0.09603186954545495,0.005732222275550486,0.23165246857680988
gamma[4],0.17766058314975755,0.033605906871166005,0.3262996030234955
gamma[5],0.08870905327240768,0.0035236259530297374,0.22017163619923702
