,Mean,2.5%,97.5%,ESS,Rhat
beta,6.93,6.58,7.28,3047,1.0
beta_img[1],0.45,0.36,0.55,4367,1.0
beta_img[2],0.01,-0.16,0.18,2424,1.0
beta_img[3],-0.1,-0.27,0.08,2380,1.0
beta_img[4],-0.06,-0.14,0.01,4002,1.0
beta_img[5],-0.0,-0.1,0.09,3844,1.0
gamma[1],0.41,0.25,0.58,3934,1.0
gamma[2],0.27,0.09,0.44,4826,1.0
gamma[3],0.11,0.0,0.29,4159,1.0
gamma[4],0.09,0.0,0.23,5159,1.0
gamma[5],0.13,0.01,0.29,5055,1.0
delta[1],0.37,0.34,0.39,3412,1.0
delta[2],0.29,0.26,0.32,4564,1.0
delta[3],0.34,0.31,0.38,4248,1.0
alpha[1],1.32,1.17,1.47,3286,1.0
alpha[2],3.91,3.7,4.13,3288,1.0
alpha[3],5.76,5.49,6.02,3028,1.0
