,mean,2.5%,97.5%
beta_img[1],1.575285547714122,1.429948676299666,1.730564586917611
beta_img[2],1.0175270687161977,0.854624354176076,1.1978497565710984
beta_img[3],0.9111107323523059,0.7602814828344958,1.0805021158657429
beta_img[4],0.9411559943160894,0.8725921005660408,1.013725166538891
beta_img[5],1.000059817794678,0.9072789634494196,1.0959494169215798
gamma[1],0.4090357436583992,0.25216658928702984,0.5750851142513002
gamma[2],0.26824671004663225,0.08607581410481657,0.4425705240175373
gamma[3],0.11004802307678493,0.0047880040036430305,0.28547751798537774
gamma[4],0.08571458140280996,0.003777165710406632,0.22701922266619196
gamma[5],0.12695494181537437,0.008202857342874709,0.29150478513650324
