,mean,2.5%,97.5%
beta[1],2.6043165791318494,2.2952773830897333,2.9307417832660643
beta[2],0.5773197476247476,0.1535046275183499,1.0196994427968908
beta[3],-0.8150413937688733,-1.288827822552595,-0.3522287654471412
beta[4],0.45120895026484736,0.21165470206381384,0.7021925136575339
beta[5],-1.4864118542107256,-1.7911617438620064,-1.1823974662591443
gamma[1],0.3406774404707763,0.2563564174817032,0.42154550947393726
gamma[2],0.22198701218910455,0.13355096500761174,0.310996013551674
gamma[3],0.05601730442756416,0.003141204363047609,0.13633666523307905
gamma[4],0.08380628226474143,0.010151851348028094,0.1646106180240464
gamma[5],0.297511960647815,0.21569863201435407,0.37749207314858557
