,Mean,2.5%,97.5%,ESS,Rhat
mu_beta,5.07,3.91,6.26,5503,1.0
beta[1],7.62,6.95,8.3,3127,1.0
beta[2],7.59,7.21,7.98,3121,1.0
mu_beta_pre,-0.45,-1.63,0.72,5142,1.0
beta_pre[1],-0.86,-1.1,-0.61,3102,1.0
beta_pre[2],-0.51,-0.66,-0.36,3622,1.0
mu_beta_post,-0.39,-1.5,0.75,6377,1.0
beta_post[1],-0.51,-0.83,-0.2,4584,1.0
beta_post[2],-0.63,-0.81,-0.46,4940,1.0
mu_delta[1],1.69,0.37,4.06,4287,1.0
mu_delta[2],1.42,0.28,3.33,4175,1.0
mu_delta[3],1.61,0.33,3.84,4288,1.0
"delta[1,1]",0.39,0.34,0.44,3825,1.0
"delta[2,1]",0.36,0.33,0.38,3810,1.0
"delta[1,2]",0.27,0.21,0.33,4650,1.0
"delta[2,2]",0.3,0.27,0.33,6409,1.0
"delta[1,3]",0.35,0.28,0.41,3943,1.0
"delta[2,3]",0.35,0.31,0.38,4731,1.0
mu_alpha_pre[1],-0.32,-1.46,0.83,5487,1.0
mu_alpha_pre[2],0.56,-0.56,1.72,5911,1.0
mu_alpha_pre[3],1.09,-0.04,2.23,5534,1.0
"alpha_pre[1,1]",-0.5,-0.69,-0.31,3126,1.0
"alpha_pre[2,1]",-0.46,-0.55,-0.37,3756,1.0
"alpha_pre[1,2]",0.78,0.58,0.98,5139,1.0
"alpha_pre[2,2]",0.88,0.79,0.98,5619,1.0
"alpha_pre[1,3]",1.61,1.38,1.83,5841,1.0
"alpha_pre[2,3]",1.68,1.56,1.8,6755,1.0
mu_alpha_post[1],0.95,-0.22,2.08,5426,1.0
mu_alpha_post[2],2.69,1.55,3.85,6405,1.0
mu_alpha_post[3],4.0,2.87,5.17,5496,1.0
"alpha_post[1,1]",1.77,1.44,2.11,3259,1.0
"alpha_post[2,1]",1.08,0.92,1.24,3876,1.0
"alpha_post[1,2]",4.29,3.86,4.72,3791,1.0
"alpha_post[2,2]",3.78,3.55,4.0,3803,1.0
"alpha_post[1,3]",6.24,5.71,6.78,3254,1.0
"alpha_post[2,3]",5.76,5.48,6.06,3824,1.0
theta[1],0.54,0.5,0.57,5430,1.0
theta[2],0.36,0.34,0.38,5464,1.0
